Spotify Overall Charts,PK,11/25/2019,11/24/2019,11/23/2019,11/22/2019
Global,143,143,172,196,176
United States,121,121,160,172,154
United Kingdom,-,-,-,-,-
Germany,-,-,-,-,-
France,-,-,-,-,-
Mexico,-,-,-,-,-
Sweden,176,176,-,-,-
Spain,-,-,-,-,-
Netherlands,197,197,-,-,-
Brazil,-,-,-,-,-
Australia,116,116,135,173,151
Philippines,-,-,-,-,-
Canada,51,51,68,69,69
Denmark,-,-,-,-,-
Italy,-,-,-,-,-
Norway,53,53,60,72,70
Spotify Viral Charts,PK,11/25/2019,11/24/2019,11/23/2019,11/22/2019
Global,7,7,8,7,7
United States,4,5,5,5,4
United Kingdom,10,10,11,12,12
Germany,29,29,35,39,39
France,40,48,45,41,40
Mexico,39,39,47,-,-
Sweden,27,37,29,29,27
Spain,-,-,-,-,-
Netherlands,10,12,12,11,10
Brazil,-,-,-,-,-
Australia,10,10,12,11,12
Philippines,15,19,15,17,15
Canada,5,5,5,5,5
Denmark,29,-,41,45,29
Italy,-,-,-,-,-
Norway,7,9,9,9,7
