Position,Track Name,Artist,Streams,date,region,id
1,Dance Monkey,Tones and I,5926959,2019-11-25,global,1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,Arizona Zervas,4318237,2019-11-25,global,696DnlkuDOXcMAnKlTgXXK
3,everything i wanted,Billie Eilish,4202789,2019-11-25,global,3ZCTVFBt2Brf31RLEnCkWJ
4,Memories,Maroon 5,4127582,2019-11-25,global,2b8fOow8UzyDFAE27YhOZM
5,Circles,Post Malone,3799702,2019-11-25,global,21jGcNKet2qwijlDFuPiPb
6,Don't Start Now,Dua Lipa,3536956,2019-11-25,global,6WrI0LAC5M1Rw2MnX2ZvEg
7,Lose You To Love Me,Selena Gomez,3387552,2019-11-25,global,1HfMVBKM75vxSfsQ5VefZ5
8,Someone You Loved,Lewis Capaldi,3167909,2019-11-25,global,7qEHsqek33rTcFNT9PFqLf
9,RITMO (Bad Boys For Life),The Black Eyed Peas,3051083,2019-11-25,global,6cy3ki60hLwimwIje7tALf
10,HIGHEST IN THE ROOM,Travis Scott,2895482,2019-11-25,global,3eekarcy7kvN4yt5ZFzltW
11,Señorita,Shawn Mendes,2894746,2019-11-25,global,6v3KW9xbzN5yKLt9YKDYA2
12,Vete,Bad Bunny,2738566,2019-11-25,global,5DxXgozhkPLgrbKFY91w0c
13,hot girl bummer,blackbear,2693653,2019-11-25,global,7aiClxsDWFRQ0Kzk5KI5ku
14,Tusa,KAROL G,2463962,2019-11-25,global,7k4t7uLgtOxPwTpFmtJNTY
15,Falling,Trevor Daniel,2409203,2019-11-25,global,4TnjEaWOeW0eKTKIEvJyCa
16,Ride It,Regard,2297607,2019-11-25,global,2tnVG71enUj33Ic2nFN6kZ
17,Before You Go,Lewis Capaldi,2242742,2019-11-25,global,2gMXnyrvIjhVBUZwvLZDMP
18,Watermelon Sugar,Harry Styles,2211915,2019-11-25,global,1e9oZCCiX42nJl0AcqriVo
19,bad guy,Billie Eilish,2163441,2019-11-25,global,2Fxmhks0bxGSBdJ92vM42m
20,Lights Up,Harry Styles,2033430,2019-11-25,global,5aJEh9Oqdz7PRLKTpH25pB
21,Beautiful People (feat. Khalid),Ed Sheeran,1946678,2019-11-25,global,70eFcWOvlMObDhURTqT4Fv
22,"10,000 Hours (with Justin Bieber)",Dan + Shay,1889309,2019-11-25,global,2wrJq5XKLnmhRXHIAf9xBa
23,China,Anuel AA,1852583,2019-11-25,global,2ksOAxtIxY8yElEWw8RhgK
24,How Do You Sleep?,Sam Smith,1793879,2019-11-25,global,6b2RcmUt1g9N9mQ3CbjX2Y
25,Trampoline (with ZAYN),SHAED,1739469,2019-11-25,global,1iQDltZqI7BXnHrFy4Qo1k
26,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1728937,2019-11-25,global,4vUmTMuQqjdnvlZmAH61Qk
27,All I Want for Christmas Is You,Mariah Carey,1668702,2019-11-25,global,0bYg9bo50gSsH3LtXe2SQn
28,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1638828,2019-11-25,global,0RiRZpuVRbi7oqRdSMwhQY
29,I Don't Care (with Justin Bieber),Ed Sheeran,1636381,2019-11-25,global,0hVXuCcriWRGvwMV1r5Yn9
30,Fantasias,Rauw Alejandro,1602145,2019-11-25,global,6mAN61JH0dzyZpWslS11jy
31,Bandit (with YoungBoy Never Broke Again),Juice WRLD,1564779,2019-11-25,global,6Gg1gjgKi2AK4e0qzsR7sd
32,Liar,Camila Cabello,1563331,2019-11-25,global,7LzouaWGFCy4tkXDOOnEyM
33,Que Tire Pa Lante,Daddy Yankee,1552112,2019-11-25,global,6RyaV7owmVU6fzEPE17sF1
34,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,1551266,2019-11-25,global,07s9NNOT0sZQp7TyolLLgu
35,Goodbyes (Feat. Young Thug),Post Malone,1550440,2019-11-25,global,6vBdBCoOhKHiYDDOcorfNo
36,Lose Control,MEDUZA,1543952,2019-11-25,global,7CHi4DtfK4heMlQaudCuHK
37,LA CANCIÓN,J Balvin,1531311,2019-11-25,global,0fea68AdmYNygeTGI4RC18
38,Lalala,Y2K,1522714,2019-11-25,global,51Fjme0JiitpyXKuyQiCDo
