Position,Track Name,Artist,date,region,id
1,Lebih Dari Egoku,Mawar De Jongh,2019-11-25,global,4vh193RZbEEBanSG0719Wh
2,Yellow Hearts,Ant Saunders,2019-11-25,global,2W4yABdLc4Jnds67Poi5Nl
3,ROXANNE,Arizona Zervas,2019-11-25,global,696DnlkuDOXcMAnKlTgXXK
4,Falling,Trevor Daniel,2019-11-25,global,4TnjEaWOeW0eKTKIEvJyCa
5,Pilu Membiru,Kunto Aji,2019-11-25,global,48FTlRoE6Dft6EXIpQgPZb
6,ok boomer,Peter Kuli,2019-11-25,global,0VdzNP9LFAMAWKjMpBDJ4B
7,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-25,global,2kJwzbxV2ppxnQoYw4GLBZ
8,Neneng B,Nik Makino,2019-11-25,global,0BaMZMMEG7GWrUYsoGw8Yg
9,El Güero,Marca MP,2019-11-25,global,4tidSEPF7Dbxcdxv3VyIHd
10,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-25,global,6cy3ki60hLwimwIje7tALf
11,Love Songs - Bonus,Kaash Paige,2019-11-25,global,6qL5UWxRSQYml9O99ozoLv
12,Don't Start Now,Dua Lipa,2019-11-25,global,6WrI0LAC5M1Rw2MnX2ZvEg
13,Take Your Man,Mahogany Lox,2019-11-25,global,1CF5kzz5XDBAL24wtVyyTJ
14,Heart On Ice,Rod Wave,2019-11-25,global,6fWa5CRgy0z30OeGZyMBvD
15,Binalewala - Original Version,Michael Dutchi Libranda,2019-11-25,global,2tR5liucorXRwduxr0qEx6
16,Nyaman,Andmesh,2019-11-25,global,1sxUn0SdlFG05Q3qAA2FlE
17,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9,2019-11-25,global,1mEO3xiJqEWXYIdZalDzHR
18,Imahe,Magnus Haven,2019-11-25,global,65sEZZaxTjLMD8vNgPoMz5
19,Eskimiş Senelere,Aspova,2019-11-25,global,5XR0fbf6IAizysmuSQDoUX
20,Dance Monkey,Tones and I,2019-11-25,global,1rgnBhdG2JDFTbYkYRZAku
21,Halu,Feby Putri,2019-11-25,global,3c4cBEObUsLU8O5I2yQP3l
22,Memories,Maroon 5,2019-11-25,global,2b8fOow8UzyDFAE27YhOZM
23,Candy,Doja Cat,2019-11-25,global,1VJwtWR6z7SpZRwipI12be
24,Alocao (With Bad Gyal),Omar Montes,2019-11-25,global,6RyuoOJXNzlVWpfC5xQyeI
25,Love poem,IU,2019-11-25,global,4B6cJ34Mkfiu4Xo8t8QU7F
26,Lose You To Love Me,Selena Gomez,2019-11-25,global,1HfMVBKM75vxSfsQ5VefZ5
27,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,2019-11-25,global,421eObjg0DTm2qajJl5OJm
28,Rehat,Kunto Aji,2019-11-25,global,1BzMyhmPzYnGWK6RBF5TTj
29,Roses - Imanbek Remix,SAINt JHN,2019-11-25,global,24Yi9hE78yPEbZ4kxyoXAI
30,Location Unknown ◐ - Brooklyn Session,HONNE,2019-11-25,global,4aT6vP9y2eDjxmRGm5ZqSC
31,90mh,Trefuego,2019-11-25,global,7nduUhUmzj9IdkvFmdtO7g
32,Eyes. Lips. Face.,iLL Wayno,2019-11-25,global,5sGb7vB83MhpdZsx1tEIYH
33,Maniac,Conan Gray,2019-11-25,global,7hpJ9tATWb2vztlq99hERP
34,Can We Kiss Forever?,Kina,2019-11-25,global,1Av69kr9JitqPWo7WJLS5q
35,Big Drip,Fivio Foreign,2019-11-25,global,4DkZDzcHicZBXCEdA19oWs
36,Lev nu dö sen,Miss Li,2019-11-25,global,6HJasLoTKvxglAMQH8nPcD
37,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,2019-11-25,global,5FmvaZGd6fulojSToozLRD
38,menina solta,Giulia Be,2019-11-25,global,2MOq63fxuFLYQM3CsDcFs1
39,Surtada - Remix Brega Funk,Dadá Boladão,2019-11-25,global,5F8ffc8KWKNawllr5WsW0r
40,hot girl bummer,blackbear,2019-11-25,global,7aiClxsDWFRQ0Kzk5KI5ku
41,You Calling My Name,GOT7,2019-11-25,global,6f4wghlwYWGLqGEIKc6HDQ
42,shining on my ex,bbno$,2019-11-25,global,1IhMuuTCpO0K7BM2MmIZ0w
43,Bedel,Mustafa Ceceli,2019-11-25,global,6R3YNDKSDdXh4s8sKewqCD
44,Move Your Body,Marshall Jefferson,2019-11-25,global,3YXIVMQLRRq2K7kxC7UYx6
45,Trampoline (with ZAYN),SHAED,2019-11-25,global,1iQDltZqI7BXnHrFy4Qo1k
46,Que Tire Pa Lante,Daddy Yankee,2019-11-25,global,6RyaV7owmVU6fzEPE17sF1
47,One Only,Pamungkas,2019-11-25,global,7iTF9T1jum3Km6H6WMZpDC
48,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,2019-11-25,global,56AMYGJzxBO6p8v0wEe9de
49,S de Saudade,Luíza & Maurílio,2019-11-25,global,3J5Pu25BODMex4Jpy4l6FL
50,Love Me More,Trippie Redd,2019-11-25,global,6uYgCE2OEulOw5zhHvZsHf
1,Yellow Hearts,Ant Saunders,2019-11-24,global,2W4yABdLc4Jnds67Poi5Nl
2,Lebih Dari Egoku,Mawar De Jongh,2019-11-24,global,4vh193RZbEEBanSG0719Wh
3,ROXANNE,Arizona Zervas,2019-11-24,global,696DnlkuDOXcMAnKlTgXXK
4,Falling,Trevor Daniel,2019-11-24,global,4TnjEaWOeW0eKTKIEvJyCa
5,ok boomer,Peter Kuli,2019-11-24,global,0VdzNP9LFAMAWKjMpBDJ4B
6,Pilu Membiru,Kunto Aji,2019-11-24,global,48FTlRoE6Dft6EXIpQgPZb
7,Neneng B,Nik Makino,2019-11-24,global,0BaMZMMEG7GWrUYsoGw8Yg
8,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-24,global,2kJwzbxV2ppxnQoYw4GLBZ
9,Take Your Man,Mahogany Lox,2019-11-24,global,1CF5kzz5XDBAL24wtVyyTJ
10,Love Songs - Bonus,Kaash Paige,2019-11-24,global,6qL5UWxRSQYml9O99ozoLv
11,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-24,global,6cy3ki60hLwimwIje7tALf
12,El Güero,Marca MP,2019-11-24,global,4tidSEPF7Dbxcdxv3VyIHd
13,Binalewala - Original Version,Michael Dutchi Libranda,2019-11-24,global,2tR5liucorXRwduxr0qEx6
14,Nyaman,Andmesh,2019-11-24,global,1sxUn0SdlFG05Q3qAA2FlE
15,Heart On Ice,Rod Wave,2019-11-24,global,6fWa5CRgy0z30OeGZyMBvD
16,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9,2019-11-24,global,1mEO3xiJqEWXYIdZalDzHR
17,Lose You To Love Me,Selena Gomez,2019-11-24,global,1HfMVBKM75vxSfsQ5VefZ5
18,Eskimiş Senelere,Aspova,2019-11-24,global,5XR0fbf6IAizysmuSQDoUX
19,Imahe,Magnus Haven,2019-11-24,global,65sEZZaxTjLMD8vNgPoMz5
20,Halu,Feby Putri,2019-11-24,global,3c4cBEObUsLU8O5I2yQP3l
21,Dance Monkey,Tones and I,2019-11-24,global,1rgnBhdG2JDFTbYkYRZAku
22,Memories,Maroon 5,2019-11-24,global,2b8fOow8UzyDFAE27YhOZM
23,Eyes. Lips. Face.,iLL Wayno,2019-11-24,global,5sGb7vB83MhpdZsx1tEIYH
24,Alocao (With Bad Gyal),Omar Montes,2019-11-24,global,6RyuoOJXNzlVWpfC5xQyeI
25,90mh,Trefuego,2019-11-24,global,7nduUhUmzj9IdkvFmdtO7g
26,Candy,Doja Cat,2019-11-24,global,1VJwtWR6z7SpZRwipI12be
27,Last Supper,D Smoke,2019-11-24,global,4vFpwBCCKgzHlw8U48MYdS
28,Roses - Imanbek Remix,SAINt JHN,2019-11-24,global,24Yi9hE78yPEbZ4kxyoXAI
29,Rehat,Kunto Aji,2019-11-24,global,1BzMyhmPzYnGWK6RBF5TTj
30,Be Gone Thot!,LIL MAYO,2019-11-24,global,3G47RiG2PrvEVo4panDHi9
31,Kartonyono Medot Janji,Denny Caknan,2019-11-24,global,6tpIXoxxhFv0TOj7S85tJi
32,menina solta,Giulia Be,2019-11-24,global,2MOq63fxuFLYQM3CsDcFs1
33,Can We Kiss Forever?,Kina,2019-11-24,global,1Av69kr9JitqPWo7WJLS5q
34,Trampoline (with ZAYN),SHAED,2019-11-24,global,1iQDltZqI7BXnHrFy4Qo1k
35,Surtada - Remix Brega Funk,Dadá Boladão,2019-11-24,global,5F8ffc8KWKNawllr5WsW0r
36,Maniac,Conan Gray,2019-11-24,global,7hpJ9tATWb2vztlq99hERP
